v8-version,7,1,302,31,0
code-creation,Builtin,3,2475,0x55ecbd503b80,872,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2479,0x55ecbd503f00,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2483,0x55ecbd503f80,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2488,0x55ecbd504000,635,ArrayIndexOf
code-creation,Builtin,3,2492,0x55ecbd504280,12,ArrayPop
code-creation,Builtin,3,2496,0x55ecbd5042a0,718,ArrayPrototypePop
code-creation,Builtin,3,2500,0x55ecbd504580,12,ArrayPush
code-creation,Builtin,3,2503,0x55ecbd5045a0,2500,ArrayPrototypePush
code-creation,Builtin,3,2508,0x55ecbd504f80,12,ArrayShift
code-creation,Builtin,3,2511,0x55ecbd504fa0,1168,ArrayPrototypeShift
code-creation,Builtin,3,2516,0x55ecbd505440,6460,ArrayPrototypeSlice
code-creation,Builtin,3,2520,0x55ecbd506d80,12,ArrayUnshift
code-creation,Builtin,3,2524,0x55ecbd506da0,1308,CloneFastJSArray
code-creation,Builtin,3,2528,0x55ecbd5072c0,3732,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,2532,0x55ecbd508160,1342,ExtractFastJSArray
code-creation,Builtin,3,2536,0x55ecbd5086a0,2916,ArrayEveryLoopContinuation
code-creation,Builtin,3,2541,0x55ecbd509220,130,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,2546,0x55ecbd5092c0,480,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,2551,0x55ecbd5094c0,1760,ArrayEvery
code-creation,Builtin,3,2554,0x55ecbd509bc0,2908,ArraySomeLoopContinuation
code-creation,Builtin,3,2559,0x55ecbd50a720,130,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,2564,0x55ecbd50a7c0,472,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,2568,0x55ecbd50a9a0,1752,ArraySome
code-creation,Builtin,3,2572,0x55ecbd50b080,4880,ArrayFilterLoopContinuation
code-creation,Builtin,3,2577,0x55ecbd50c3a0,6201,ArrayFilter
code-creation,Builtin,3,2581,0x55ecbd50dbe0,130,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,2585,0x55ecbd50dc80,738,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,2590,0x55ecbd50df80,2800,ArrayMapLoopContinuation
code-creation,Builtin,3,2595,0x55ecbd50ea80,130,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,2599,0x55ecbd50eb20,368,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,2604,0x55ecbd50eca0,4228,ArrayMap
code-creation,Builtin,3,2608,0x55ecbd50fd40,2836,ArrayReduceLoopContinuation
code-creation,Builtin,3,2612,0x55ecbd510860,126,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,2617,0x55ecbd5108e0,130,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,2622,0x55ecbd510980,130,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,2627,0x55ecbd510a20,1644,ArrayReduce
code-creation,Builtin,3,2631,0x55ecbd5110a0,2784,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,2635,0x55ecbd511ba0,142,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,2640,0x55ecbd511c40,130,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,2645,0x55ecbd511ce0,130,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,2650,0x55ecbd511d80,1785,ArrayReduceRight
code-creation,Builtin,3,2655,0x55ecbd512480,297,ArrayPrototypeEntries
code-creation,Builtin,3,2659,0x55ecbd5125c0,608,ArrayFindLoopContinuation
code-creation,Builtin,3,2663,0x55ecbd512840,130,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,2668,0x55ecbd5128e0,130,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,2673,0x55ecbd512980,289,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,2678,0x55ecbd512ac0,1708,ArrayPrototypeFind
code-creation,Builtin,3,2682,0x55ecbd513180,600,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,2687,0x55ecbd5133e0,138,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,2691,0x55ecbd513480,138,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,2696,0x55ecbd513520,293,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,2702,0x55ecbd513660,1728,ArrayPrototypeFindIndex
code-creation,Builtin,3,2706,0x55ecbd513d40,289,ArrayPrototypeKeys
code-creation,Builtin,3,2710,0x55ecbd513e80,297,ArrayPrototypeValues
code-creation,Builtin,3,2716,0x55ecbd513fc0,4172,ArrayIteratorPrototypeNext
code-creation,Builtin,3,2721,0x55ecbd515020,3884,FlattenIntoArray
code-creation,Builtin,3,2725,0x55ecbd515f60,3932,FlatMapIntoArray
code-creation,Builtin,3,2729,0x55ecbd516ec0,516,ArrayPrototypeFlat
code-creation,Builtin,3,2733,0x55ecbd5170e0,572,ArrayPrototypeFlatMap
code-creation,Builtin,3,2737,0x55ecbd517320,12,ArrayBufferConstructor
code-creation,Builtin,3,2741,0x55ecbd517340,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,2746,0x55ecbd517360,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,2751,0x55ecbd517380,12,ArrayBufferIsView
code-creation,Builtin,3,2755,0x55ecbd5173a0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,2759,0x55ecbd5173c0,2232,AsyncFunctionAwaitCaught
code-creation,Builtin,3,2764,0x55ecbd517c80,2232,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,2768,0x55ecbd518540,122,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,2773,0x55ecbd5185c0,118,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,2777,0x55ecbd518640,360,AsyncFunctionPromiseCreate
code-creation,Builtin,3,2782,0x55ecbd5187c0,158,AsyncFunctionPromiseRelease
code-creation,Builtin,3,2786,0x55ecbd518860,12,BigIntConstructor
code-creation,Builtin,3,2790,0x55ecbd518880,12,BigIntAsUintN
code-creation,Builtin,3,2794,0x55ecbd5188a0,12,BigIntAsIntN
code-creation,Builtin,3,2798,0x55ecbd5188c0,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,2803,0x55ecbd5188e0,12,BigIntPrototypeToString
code-creation,Builtin,3,2807,0x55ecbd518900,12,BigIntPrototypeValueOf
code-creation,Builtin,3,2812,0x55ecbd518920,12,BooleanConstructor
code-creation,Builtin,3,2816,0x55ecbd518940,190,BooleanPrototypeToString
code-creation,Builtin,3,2820,0x55ecbd518a00,186,BooleanPrototypeValueOf
code-creation,Builtin,3,2824,0x55ecbd518ac0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,2829,0x55ecbd518ae0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,2834,0x55ecbd518b00,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,2838,0x55ecbd518b20,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,2843,0x55ecbd518b40,12,CallSitePrototypeGetFunctionName
